Date,Confirmed_case,Death_case,Recovered_case
03/02/2020,2,0,0
03/03/2020,2,0,0
03/04/2020,5,0,0
03/05/2020,8,0,0
03/06/2020,13,0,0
03/07/2020,20,0,0
03/08/2020,30,0,0
03/09/2020,30,0,0
03/10/2020,41,0,0
03/11/2020,59,0,0
03/12/2020,59,0,0
3/13/20,112,0,1
3/14/20,169,0,2
3/15/20,245,0,2
3/16/20,331,0,3
3/17/20,448,1,3
3/18/20,448,2,3
3/19/20,785,3,3
3/20/20,1020,6,5
3/21/20,1280,12,5
3/22/20,1600,14,5
3/23/20,2060,23,5
3/24/20,2362,33,22
3/25/20,2995,43,22
3/26/20,3544,60,43
3/27/20,4268,76,43
3/28/20,5170,100,43
3/29/20,5962,119,43
3/30/20,6408,140,43
3/31/20,7443,160,43
04/01/2020,8251,187,43
04/02/2020,9034,209,68
04/03/2020,9886,246,68
04/04/2020,10524,266,75
04/05/2020,11278,295,75
04/06/2020,11730,311,140
04/07/2020,12442,345,184
04/08/2020,13141,380,196
04/09/2020,13956,409,205
04/10/2020,15472,435,233
04/11/2020,15987,470,266
04/12/2020,16585,504,277
4/13/20,16934,535,277
4/14/20,17448,567,347
4/15/20,18091,599,383
4/16/20,18841,629,493
4/17/20,19022,657,519
4/18/20,19685,687,610
4/19/20,20206,714,610
4/20/20,20863,735,610
4/21/20,21379,762,917
4/22/20,21982,785,1143
4/23/20,22353,820,1201
4/24/20,22797,854,1228
4/25/20,23392,880,1277
4/26/20,23864,903,1329
4/27/20,24027,928,1357
4/28/20,24322,948,1389
4/29/20,24505,973,1470
4/30/20,25045,989,1519
05/01/2020,25351,1007,1647
05/02/2020,25190,1023,1671
05/03/2020,25282,1043,1689
05/04/2020,25524,1063,1712
05/05/2020,25702,1074,1743
05/06/2020,26182,1089,2076
05/07/2020,26715,1105,2258
05/08/2020,27268,1114,2422
05/09/2020,27406,1126,2499
05/10/2020,27581,1135,2549
05/11/2020,27679,1144,2549
05/12/2020,27913,1163,3013
5/13/20,28132,1175,3182
5/14/20,28319,1184,3198
5/15/20,28583,1190,3328
5/16/20,28810,1203,3822
5/17/20,29036,1218,4636
5/18/20,29209,1231,6430
5/19/20,29432,1247,6431
5/20/20,29660,1263,6452
5/21/20,29912,1277,6452
5/22/20,30200,1289,7590
5/23/20,30471,1302,7705
5/24/20,30623,1316,17549
5/25/20,30788,1330,17822
5/26/20,31007,1342,18096
5/27/20,31292,1356,18349
5/28/20,31596,1369,18637
5/29/20,31946,1383,18911
5/30/20,32203,1396,19186
5/31/20,32500,1410,19409
06/01/2020,32700,1424,19552
06/02/2020,32895,1436,19869
06/03/2020,33261,1447,20079
06/04/2020,33592,1455,20323
06/05/2020,33969,1465,20526
06/06/2020,34351,1474,20807
06/07/2020,34693,1479,20995
06/08/2020,34885,1485,21156
06/09/2020,35306,1492,21339
06/10/2020,35600,1497,21742
06/11/2020,35910,1504,22002
06/12/2020,36180,1505,22200
6/13/20,36463,1512,22438
6/14/20,36690,1517,22669
6/15/20,37036,1520,22852
6/16/20,37336,1522,23212
6/17/20,37672,1523,23580
6/18/20,38089,1524,24010
6/19/20,38464,1527,24477
6/20/20,38841,1528,24906
6/21/20,39133,1530,25376
6/22/20,39392,1534,25548
6/23/20,39737,1540,25829
6/24/20,40104,1543,26083
6/25/20,40415,1549,26382
6/26/20,40866,1555,26633
6/27/20,41189,1561,26864
6/28/20,41646,1564,27066
6/29/20,41912,1568,27205
6/30/20,42141,1576,27505
07/01/2020,42454,1579,27798
07/02/2020,42782,1587,28097
07/03/2020,43156,1598,28424
07/04/2020,43569,1605,28772
07/05/2020,43897,1614,29017
07/06/2020,44129,1620,29166
07/07/2020,44416,1629,29445
07/08/2020,44859,1631,29714
07/09/2020,45277,1644,30049
07/10/2020,45679,1646,30350
07/11/2020,46221,1654,30655
07/12/2020,46512,1660,30907
7/13/20,46818,1662,31065
7/14/20,47051,1668,31550
7/15/20,47426,1676,32110
7/16/20,47765,1679,32476
7/17/20,48077,1682,32790
7/18/20,48390,1684,33153
7/19/20,48636,1689,33369
7/20/20,48771,1691,33547
7/21/20,48898,1697,33769
7/22/20,49150,1702,33999
7/23/20,49379,1705,34369
7/24/20,49692,1712,34687
7/25/20,49955,1716,35010
7/26/20,50164,1717,35217
